Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,243,Sales,7,4,Marketing,1,709,4,46,2,2,Sales Executive,4,Single,4028,7791,0,Y,No,20,4,1,80,0,8,2,3,7,7,0,5
44,No,Travel_Rarely,986,Research & Development,8,4,Life Sciences,1,874,1,62,4,1,Laboratory Technician,4,Married,2818,5044,2,Y,Yes,24,4,3,80,1,10,2,2,3,2,0,2
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,1,238,4,30,3,1,Laboratory Technician,2,Single,2088,15062,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2
54,No,Travel_Rarely,155,Research & Development,9,2,Life Sciences,1,1969,1,67,3,2,Research Scientist,3,Married,2897,22474,3,Y,No,11,3,3,80,2,9,6,2,4,3,2,3
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
50,Yes,Travel_Rarely,410,Sales,28,3,Marketing,1,2055,4,39,2,3,Sales Executive,1,Divorced,10854,16586,4,Y,Yes,13,3,2,80,1,20,3,3,3,2,2,0
31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423,3,86,3,1,Research Scientist,4,Married,4821,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3
40,No,Non-Travel,663,Research & Development,9,4,Other,1,1449,3,81,3,2,Laboratory Technician,3,Divorced,3975,23099,3,Y,No,11,3,3,80,2,11,2,4,8,7,0,7
28,No,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,1102,1,50,3,1,Laboratory Technician,3,Divorced,2207,22482,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,612,1,95,4,4,Research Director,3,Divorced,16184,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5
20,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,54,3,1,Sales Representative,1,Single,2728,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2
53,Yes,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,1572,3,78,2,3,Manufacturing Director,4,Married,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9
41,No,Travel_Frequently,1018,Sales,1,3,Marketing,1,1349,3,66,3,2,Sales Executive,1,Divorced,4103,4297,0,Y,No,17,3,4,80,1,10,2,3,9,3,1,7
33,No,Travel_Rarely,501,Research & Development,15,2,Medical,1,2009,2,95,3,2,Healthcare Representative,4,Married,4878,21653,0,Y,Yes,13,3,1,80,1,10,6,3,9,7,8,1
49,Yes,Travel_Frequently,1475,Research & Development,28,2,Life Sciences,1,1420,1,97,2,2,Laboratory Technician,1,Single,4284,22710,3,Y,No,20,4,1,80,0,20,2,3,4,3,1,3
38,No,Travel_Rarely,770,Sales,10,4,Marketing,1,1119,3,73,2,3,Sales Executive,3,Divorced,8740,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7
31,No,Non-Travel,587,Sales,2,4,Life Sciences,1,1324,4,57,3,3,Sales Executive,3,Divorced,9852,8935,1,Y,Yes,19,3,1,80,1,10,5,2,10,8,9,6
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
50,No,Travel_Rarely,813,Research & Development,17,5,Life Sciences,1,1656,4,50,2,3,Research Director,1,Divorced,13269,21981,5,Y,No,15,3,3,80,3,19,3,3,14,11,1,11
59,No,Travel_Rarely,715,Research & Development,2,3,Life Sciences,1,1032,3,69,2,4,Manufacturing Director,4,Single,13726,21829,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,1,386,3,45,3,4,Research Director,3,Married,17584,21016,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3
50,No,Travel_Frequently,1421,Research & Development,2,3,Medical,1,1215,4,30,3,4,Manager,1,Married,17856,9490,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2
36,No,Travel_Rarely,1383,Research & Development,10,3,Life Sciences,1,1790,4,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Y,Yes,13,3,4,80,1,15,1,3,12,8,5,7
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,252,4,72,3,1,Research Scientist,2,Married,2756,4673,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6
43,No,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,1599,4,87,4,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,3,80,1,8,0,3,6,4,0,2
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193,4,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291,4,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8
26,No,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,30,2,1,Sales Representative,3,Single,2966,21378,0,Y,No,18,3,4,80,0,5,2,3,4,2,0,0
42,No,Travel_Frequently,1271,Research & Development,2,1,Medical,1,875,2,35,3,1,Research Scientist,4,Single,2515,9068,5,Y,Yes,14,3,4,80,0,8,2,3,2,1,2,2
31,No,Travel_Rarely,1079,Sales,10,2,Medical,1,1912,3,86,3,2,Sales Executive,4,Divorced,6583,20115,2,Y,Yes,11,3,4,80,1,8,2,3,5,2,1,4
28,Yes,Travel_Frequently,289,Research & Development,2,2,Medical,1,1504,3,38,2,1,Laboratory Technician,1,Single,2561,5355,7,Y,No,11,3,3,80,0,8,2,2,0,0,0,0
50,Yes,Travel_Frequently,878,Sales,1,4,Life Sciences,1,2044,2,94,3,2,Sales Executive,3,Divorced,6728,14255,7,Y,No,12,3,4,80,2,12,3,3,6,3,0,1
26,Yes,Travel_Rarely,920,Human Resources,20,2,Medical,1,1818,4,69,3,1,Human Resources,2,Married,2148,6889,0,Y,Yes,11,3,3,80,0,6,3,3,5,1,1,4
28,No,Non-Travel,1476,Research & Development,1,3,Life Sciences,1,1315,3,55,1,2,Laboratory Technician,4,Married,6674,16392,0,Y,No,11,3,1,80,3,10,6,3,9,8,7,5
31,No,Travel_Rarely,1112,Sales,5,4,Life Sciences,1,1673,1,67,3,2,Sales Executive,4,Married,5476,22589,1,Y,No,11,3,1,80,2,10,2,3,10,0,0,2
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,1606,2,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,287,4,63,2,2,Healthcare Representative,4,Married,4876,14242,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431,3,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
29,No,Travel_Rarely,657,Research & Development,27,3,Medical,1,793,2,66,3,2,Healthcare Representative,3,Married,4335,25549,4,Y,No,12,3,1,80,1,11,3,2,8,7,1,1
49,No,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,1661,3,41,2,4,Healthcare Representative,3,Married,13966,11652,2,Y,Yes,19,3,2,80,1,30,3,3,15,11,2,12
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
20,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,49,2,1,Sales Representative,3,Single,2044,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2
35,No,Non-Travel,1225,Research & Development,2,4,Life Sciences,1,771,4,61,3,2,Healthcare Representative,1,Divorced,5093,4761,2,Y,No,11,3,1,80,1,16,2,4,1,0,0,0
32,No,Non-Travel,1200,Research & Development,1,4,Technical Degree,1,1574,4,62,3,2,Research Scientist,1,Married,4087,25174,4,Y,No,14,3,2,80,1,9,3,2,6,5,1,2
44,Yes,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,1,1200,3,96,3,1,Research Scientist,3,Single,2936,10826,1,Y,Yes,11,3,3,80,0,6,4,3,6,4,0,2
34,No,Travel_Rarely,304,Sales,2,3,Other,1,786,4,60,3,2,Sales Executive,4,Single,6274,18686,1,Y,No,22,4,3,80,0,6,5,3,6,5,1,4
38,No,Travel_Rarely,130,Sales,2,2,Marketing,1,1125,4,32,3,3,Sales Executive,2,Single,7351,20619,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0
32,No,Travel_Frequently,116,Research & Development,13,3,Other,1,1234,3,77,2,1,Laboratory Technician,2,Married,2743,7331,1,Y,No,20,4,3,80,1,2,2,3,2,2,2,2
42,No,Travel_Rarely,557,Research & Development,18,4,Life Sciences,1,1998,4,35,3,2,Research Scientist,1,Divorced,5410,11189,6,Y,Yes,17,3,3,80,1,9,3,2,4,3,1,2
42,No,Travel_Rarely,932,Research & Development,1,2,Life Sciences,1,827,4,43,2,2,Manufacturing Director,4,Married,6062,4051,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2
24,No,Travel_Rarely,506,Research & Development,29,1,Medical,1,1725,2,91,3,1,Laboratory Technician,1,Divorced,3907,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2
34,No,Travel_Rarely,1440,Sales,7,2,Technical Degree,1,1541,2,55,3,1,Sales Representative,3,Married,2308,4944,0,Y,Yes,25,4,2,80,1,12,4,3,11,10,5,7
35,No,Travel_Rarely,1224,Sales,7,4,Life Sciences,1,1962,3,55,3,2,Sales Executive,4,Married,5204,13586,1,Y,Yes,11,3,4,80,0,10,2,3,10,8,0,9
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,362,4,84,2,2,Laboratory Technician,1,Single,2176,19737,4,Y,No,13,3,4,80,0,9,5,3,6,2,0,4
33,No,Travel_Frequently,827,Research & Development,1,4,Other,1,998,3,84,4,2,Healthcare Representative,2,Married,5488,20161,1,Y,Yes,13,3,1,80,1,6,2,3,6,5,1,2
34,No,Travel_Rarely,735,Sales,3,1,Medical,1,1915,4,75,2,2,Sales Executive,4,Married,8103,16495,3,Y,Yes,12,3,3,80,0,9,3,2,4,2,0,1
36,No,Travel_Rarely,172,Research & Development,4,4,Life Sciences,1,1435,1,37,2,2,Laboratory Technician,4,Single,5810,22604,1,Y,No,16,3,3,80,0,10,2,2,10,4,1,8
37,No,Non-Travel,1252,Sales,19,2,Medical,1,904,1,32,3,3,Sales Executive,2,Single,7642,4814,1,Y,Yes,13,3,4,80,0,10,2,3,10,0,0,9
35,No,Travel_Rarely,982,Research & Development,1,4,Medical,1,1172,4,58,2,1,Laboratory Technician,3,Married,2258,16340,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7
25,No,Travel_Rarely,1382,Sales,8,2,Other,1,2018,1,85,3,2,Sales Executive,3,Divorced,4907,13684,0,Y,Yes,22,4,2,80,1,6,3,2,5,3,0,4
36,No,Travel_Frequently,884,Research & Development,23,2,Medical,1,2061,3,41,4,2,Laboratory Technician,4,Married,2571,12290,4,Y,No,17,3,3,80,1,17,3,3,5,2,0,3
40,No,Non-Travel,218,Research & Development,8,1,Medical,1,1468,4,55,2,3,Research Director,2,Divorced,13757,25178,2,Y,No,11,3,3,80,1,16,5,3,9,8,4,8
27,Yes,Travel_Rarely,135,Research & Development,17,4,Life Sciences,1,1405,4,51,3,1,Research Scientist,3,Single,2394,25681,1,Y,Yes,13,3,4,80,0,8,2,3,8,2,7,7
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,728,Sales,23,1,Medical,1,1864,2,36,2,2,Sales Representative,3,Married,3540,7018,1,Y,No,21,4,4,80,1,9,5,3,9,8,5,8
28,No,Travel_Rarely,580,Research & Development,27,3,Medical,1,1622,2,39,1,2,Manufacturing Director,1,Divorced,4877,20460,0,Y,No,21,4,2,80,1,6,5,2,5,3,0,0
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
28,Yes,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1486,1,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2
24,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,42,3,2,Sales Executive,3,Married,4162,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3
39,No,Travel_Frequently,711,Research & Development,4,3,Medical,1,1633,1,81,3,2,Manufacturing Director,3,Single,5042,3140,0,Y,No,13,3,4,80,0,10,2,1,9,2,3,8
33,No,Travel_Rarely,267,Research & Development,21,3,Medical,1,1698,2,79,4,1,Laboratory Technician,2,Married,2028,13637,1,Y,No,18,3,4,80,3,14,6,3,14,11,2,13
28,No,Travel_Rarely,950,Research & Development,3,3,Medical,1,1121,4,93,3,3,Manufacturing Director,2,Divorced,7655,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7
37,No,Travel_Frequently,663,Research & Development,11,3,Other,1,306,2,47,3,3,Research Director,4,Divorced,12185,10056,1,Y,Yes,14,3,3,80,3,10,1,3,10,8,0,7
55,No,Travel_Frequently,135,Research & Development,18,4,Medical,1,1034,3,62,3,2,Healthcare Representative,2,Married,6385,12992,3,Y,Yes,14,3,4,80,2,17,3,3,8,7,6,7
34,No,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1,1701,2,35,2,1,Research Scientist,4,Married,2929,20338,1,Y,No,12,3,2,80,0,10,3,3,10,9,8,7
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
27,No,Travel_Rarely,205,Sales,10,3,Marketing,1,1403,4,98,2,2,Sales Executive,4,Married,5769,7100,1,Y,Yes,11,3,4,80,0,6,3,3,6,2,4,4
36,No,Travel_Rarely,430,Research & Development,2,4,Other,1,1847,4,73,3,2,Research Scientist,2,Married,6962,19573,4,Y,Yes,22,4,4,80,1,15,2,3,1,0,0,0
29,No,Travel_Rarely,598,Research & Development,9,3,Life Sciences,1,1558,3,91,4,1,Research Scientist,3,Married,2451,22376,6,Y,No,18,3,1,80,2,5,2,2,1,0,0,0
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
53,No,Travel_Rarely,1223,Research & Development,7,2,Medical,1,1201,4,50,3,5,Manager,3,Divorced,18606,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7
26,Yes,Non-Travel,265,Sales,29,2,Medical,1,1037,2,79,1,2,Sales Executive,1,Single,4969,21813,8,Y,No,18,3,4,80,0,7,6,3,2,2,2,2
30,Yes,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1,1004,1,48,3,1,Research Scientist,3,Married,2132,11539,4,Y,Yes,11,3,2,80,0,7,2,3,5,2,0,1
45,No,Non-Travel,589,Sales,2,4,Life Sciences,1,1845,3,67,3,2,Sales Executive,3,Married,5154,19665,4,Y,No,22,4,2,80,2,10,3,4,8,7,5,7
39,No,Travel_Rarely,492,Research & Development,12,3,Medical,1,1654,4,66,3,2,Manufacturing Director,2,Married,5295,7693,4,Y,No,21,4,3,80,0,7,3,3,5,4,1,0
40,No,Travel_Rarely,1194,Research & Development,2,4,Medical,1,2051,3,98,3,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,3,2,80,3,20,2,3,5,3,0,2
33,No,Travel_Rarely,536,Sales,10,5,Marketing,1,1268,4,82,4,3,Sales Executive,3,Divorced,8380,21708,0,Y,Yes,14,3,4,80,2,10,3,3,9,8,0,8
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,100,1,1,Sales Representative,1,Single,2325,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
35,No,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,880,4,66,2,3,Manufacturing Director,3,Married,10685,23457,1,Y,Yes,20,4,2,80,1,17,2,3,17,14,5,15
22,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,79,3,1,Laboratory Technician,1,Married,2398,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0
36,No,Travel_Rarely,796,Research & Development,12,5,Medical,1,1073,4,51,2,3,Manufacturing Director,4,Single,8858,15669,0,Y,No,11,3,2,80,0,15,2,2,14,8,7,8
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
