Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,924,3,Male,68,3,2,Healthcare Representative,4,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,4,Male,31,3,5,Research Director,2,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8
41,No,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,1,1392,4,Female,75,3,2,Research Scientist,4,5467,13953,3,Y,Yes,14,3,1,80,2,12,4,2,6,2,3,3
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,3,Male,96,3,3,Sales Executive,3,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,250,4,Female,57,4,2,Manufacturing Director,1,4450,26250,1,Y,No,11,3,3,80,2,5,3,3,4,2,1,3
43,No,Travel_Rarely,589,Research & Development,14,2,Life Sciences,1,843,2,Male,94,3,4,Research Director,1,17159,5200,6,Y,No,24,4,3,80,1,22,3,3,4,1,1,0
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,206,2,Male,60,3,2,Laboratory Technician,2,2348,10901,8,Y,No,18,3,3,80,1,20,2,1,17,9,0,15
26,No,Non-Travel,786,Research & Development,7,3,Medical,1,1693,4,Male,76,3,1,Laboratory Technician,4,2570,11925,1,Y,No,20,4,3,80,0,7,5,3,7,7,5,7
29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2
53,No,Travel_Rarely,661,Sales,7,2,Marketing,1,862,1,Female,78,2,3,Sales Executive,4,10934,20715,7,Y,Yes,18,3,4,80,1,35,3,3,5,2,0,4
55,Yes,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,4,Male,78,3,5,Manager,1,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4
40,No,Travel_Rarely,896,Research & Development,2,3,Medical,1,1474,3,Male,68,3,1,Research Scientist,3,2345,8045,2,Y,No,14,3,3,80,1,8,3,4,3,1,1,2
45,No,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,1,1719,4,Female,48,2,4,Research Director,2,16704,17119,1,Y,No,11,3,3,80,0,21,2,3,21,6,8,6
42,No,Travel_Frequently,570,Research & Development,8,3,Life Sciences,1,809,2,Male,66,3,5,Manager,4,18430,16225,1,Y,No,13,3,2,80,1,24,4,2,24,7,14,9
35,No,Travel_Rarely,682,Sales,18,4,Medical,1,1945,2,Male,71,3,2,Sales Executive,1,5561,15975,0,Y,No,16,3,4,80,1,6,2,1,5,3,0,4
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,2,Female,73,3,1,Laboratory Technician,4,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7
55,No,Travel_Rarely,282,Research & Development,2,2,Medical,1,1336,4,Female,58,1,5,Manager,3,19187,6992,4,Y,No,14,3,4,80,1,23,5,3,19,9,9,11
28,No,Travel_Rarely,736,Sales,26,3,Life Sciences,1,1387,3,Male,48,2,2,Sales Executive,1,4724,24232,1,Y,No,11,3,3,80,1,5,0,3,5,3,0,4
35,Yes,Travel_Rarely,104,Research & Development,2,3,Life Sciences,1,1569,1,Female,69,3,1,Laboratory Technician,1,2074,26619,1,Y,Yes,12,3,4,80,1,1,2,3,1,0,0,0
45,No,Travel_Rarely,1448,Research & Development,29,3,Technical Degree,1,1465,2,child,55,3,3,Manufacturing Director,4,9380,14720,4,Y,Yes,18,3,4,80,2,10,4,4,3,1,1,2
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
34,No,Travel_Rarely,1333,Sales,10,4,Life Sciences,1,1055,3,Female,87,3,1,Sales Representative,3,2220,18410,1,Y,Yes,19,3,4,80,1,1,2,3,1,1,0,0
42,No,Travel_Frequently,1271,Research & Development,2,1,Medical,1,875,2,Male,35,3,1,Research Scientist,4,2515,9068,5,Y,Yes,14,3,4,80,0,8,2,3,2,1,2,2
30,Yes,Travel_Frequently,109,Research & Development,5,3,Medical,1,1017,2,Female,60,3,1,Laboratory Technician,2,2422,25725,0,Y,No,17,3,1,80,0,4,3,3,3,2,1,2
32,No,Travel_Rarely,499,Sales,2,1,Marketing,1,1396,3,Male,36,3,2,Sales Executive,2,4078,20497,0,Y,Yes,13,3,1,80,3,4,3,2,3,2,1,2
25,No,Travel_Rarely,309,Human Resources,2,3,Human Resources,1,1987,3,Female,82,3,1,Human Resources,2,2187,19655,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
40,No,Travel_Rarely,1492,Research & Development,20,4,Technical Degree,1,1092,1,Male,61,3,3,Healthcare Representative,4,10322,26542,4,Y,No,20,4,4,80,1,14,6,3,11,10,11,1
38,No,Travel_Frequently,888,Human Resources,10,4,Human Resources,1,1563,3,Male,71,3,2,Human Resources,3,6077,14814,3,Y,No,11,3,3,80,0,10,2,3,6,3,1,2
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,child,99,3,3,Sales Executive,1,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
47,No,Travel_Rarely,703,Sales,14,4,Marketing,1,728,4,Male,42,3,2,Sales Executive,1,4960,11825,2,Y,No,12,3,4,80,0,20,2,3,7,7,1,7
39,No,Non-Travel,105,Research & Development,9,3,Life Sciences,1,2022,4,Male,87,3,5,Manager,4,19431,15302,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3
47,No,Non-Travel,543,Sales,2,4,Marketing,1,1731,3,child,87,3,2,Sales Executive,2,4978,3536,7,Y,No,11,3,4,80,1,4,3,1,1,0,0,0
44,No,Travel_Rarely,170,Research & Development,1,4,Life Sciences,1,1903,2,Male,78,4,2,Healthcare Representative,1,5033,9364,2,Y,No,15,3,4,80,1,10,5,3,2,0,2,2
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227,1,Male,56,3,1,Research Scientist,3,2451,4609,4,Y,No,12,3,1,80,1,13,2,3,9,8,1,8
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
40,No,Travel_Rarely,329,Research & Development,1,4,Life Sciences,1,1361,2,Male,88,3,1,Laboratory Technician,2,2387,6762,3,Y,No,22,4,3,80,1,7,3,3,4,2,0,3
31,No,Non-Travel,325,Research & Development,5,3,Medical,1,2057,2,Male,74,3,2,Manufacturing Director,1,9936,3787,0,Y,No,19,3,2,80,0,10,2,3,9,4,1,7
59,No,Travel_Rarely,715,Research & Development,2,3,Life Sciences,1,1032,3,Female,69,2,4,Manufacturing Director,4,13726,21829,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3
35,No,Travel_Rarely,662,Sales,1,5,Marketing,1,204,3,Male,94,3,3,Sales Executive,2,7295,11439,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6
36,No,Travel_Frequently,1213,Human Resources,2,1,Human Resources,1,1890,2,Male,94,2,2,Human Resources,4,3886,4223,1,Y,No,21,4,4,80,0,10,2,2,10,1,0,8
40,No,Travel_Rarely,1322,Research & Development,2,4,Life Sciences,1,2048,3,Male,52,2,1,Research Scientist,3,2809,2725,2,Y,No,14,3,4,80,0,8,2,3,2,2,2,2
42,No,Travel_Rarely,300,Research & Development,2,3,Life Sciences,1,2031,1,Male,56,3,5,Manager,3,18880,17312,5,Y,No,11,3,1,80,0,24,2,2,22,6,4,14
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,child,95,3,1,Laboratory Technician,1,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
36,No,Travel_Rarely,335,Sales,17,2,Marketing,1,1908,3,Male,33,2,2,Sales Executive,2,5507,16822,2,Y,No,16,3,3,80,2,12,1,1,4,2,1,3
33,No,Travel_Rarely,213,Research & Development,7,3,Medical,1,817,3,Male,49,3,3,Research Director,3,11691,25995,0,Y,No,11,3,4,80,0,14,3,4,13,9,3,7
44,No,Travel_Frequently,383,Sales,1,5,Marketing,1,1481,1,child,79,3,2,Sales Executive,3,4768,9282,7,Y,No,12,3,3,80,1,11,4,2,1,0,0,0
32,No,Travel_Frequently,116,Research & Development,13,3,Other,1,1234,3,Female,77,2,1,Laboratory Technician,2,2743,7331,1,Y,No,20,4,3,80,1,2,2,3,2,2,2,2
53,No,Travel_Rarely,447,Research & Development,2,3,Medical,1,1472,4,Male,39,4,4,Research Director,2,16598,19764,4,Y,No,12,3,2,80,0,35,2,2,9,8,8,8
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,child,97,3,1,Sales Representative,4,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,342,1,Male,61,3,3,Manufacturing Director,3,10048,22573,6,Y,No,11,3,2,80,2,17,5,3,1,0,0,0
29,Yes,Travel_Rarely,805,Research & Development,1,2,Life Sciences,1,816,2,Female,36,2,1,Laboratory Technician,1,2319,6689,1,Y,Yes,11,3,4,80,1,1,1,3,1,0,0,0
34,No,Travel_Rarely,167,Research & Development,8,5,Life Sciences,1,775,2,Female,32,3,2,Manufacturing Director,1,5121,4187,3,Y,No,14,3,3,80,1,7,3,3,0,0,0,0
35,Yes,Travel_Rarely,737,Sales,10,3,Medical,1,1639,4,Male,55,2,3,Sales Executive,1,10306,21530,9,Y,No,17,3,3,80,0,15,3,3,13,12,6,0
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274,3,Male,60,2,2,Manufacturing Director,1,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0
58,No,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,1,940,3,Female,37,2,3,Healthcare Representative,2,10552,9255,2,Y,Yes,13,3,4,80,1,24,3,3,6,0,0,4
51,Yes,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1081,1,Male,34,3,1,Research Scientist,3,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7
35,No,Travel_Rarely,670,Research & Development,10,4,Medical,1,1587,1,Female,51,3,2,Healthcare Representative,3,6142,4223,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
27,No,Travel_Frequently,793,Sales,2,1,Life Sciences,1,1371,4,Male,43,1,2,Sales Executive,4,5071,20392,3,Y,No,20,4,2,80,0,8,3,3,6,2,0,0
57,No,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,1483,2,Male,93,4,2,Research Scientist,3,4900,2721,0,Y,No,24,4,1,80,1,13,2,2,12,9,2,8
58,Yes,Travel_Frequently,781,Research & Development,2,1,Life Sciences,1,918,4,Male,57,2,1,Laboratory Technician,4,2380,13384,9,Y,Yes,14,3,4,80,1,3,3,2,1,0,0,0
36,Yes,Travel_Rarely,885,Research & Development,16,4,Life Sciences,1,1042,3,Female,43,4,1,Laboratory Technician,1,2743,8269,1,Y,No,16,3,3,80,0,18,1,3,17,13,15,14
37,No,Travel_Rarely,228,Sales,6,4,Medical,1,378,3,Male,98,3,2,Sales Executive,4,6502,22825,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1
35,No,Travel_Rarely,528,Human Resources,8,4,Technical Degree,1,1164,3,Male,100,3,1,Human Resources,3,4323,7108,1,Y,No,17,3,2,80,0,6,2,1,5,4,1,4
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,9824,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0
24,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,4377,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2
45,No,Travel_Rarely,538,Research & Development,1,4,Technical Degree,1,1553,1,Male,66,3,3,Healthcare Representative,2,7441,20933,1,Y,No,12,3,1,80,3,10,4,3,10,8,7,7
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
24,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,3162,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4
44,No,Travel_Rarely,1313,Research & Development,7,3,Medical,1,1608,2,Female,31,3,5,Research Director,4,19049,3549,0,Y,Yes,14,3,4,80,1,23,4,2,22,7,1,10
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,288,4,Male,97,3,3,Healthcare Representative,1,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3
38,No,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,Female,99,1,3,Research Director,3,13206,3376,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11
30,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,child,30,2,2,Sales Executive,3,6118,5431,1,Y,No,13,3,3,80,3,10,2,3,10,9,1,2
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,304,4,Male,62,3,2,Laboratory Technician,2,5914,9945,8,Y,No,16,3,4,80,0,16,3,4,13,11,3,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
44,No,Travel_Rarely,200,Research & Development,29,4,Other,1,1225,4,Male,32,3,2,Research Scientist,4,4541,7744,1,Y,No,25,4,2,80,0,20,3,3,20,11,13,17
27,No,Travel_Rarely,1354,Research & Development,2,4,Technical Degree,1,1931,2,Male,41,3,1,Research Scientist,2,2226,6073,1,Y,No,11,3,3,80,1,6,3,2,5,3,1,2
